00   0 39264811 38346811 40182811 15.1 14.8 15.5 15727492 15239667 16215317 22.7 22.0 23.4  9814133  9407946 10220320 20.4 19.6 21.3  31241  31001  31481 5367476 5064223 5670729 26.5 25.0 28.0 United States                                 US
01  59     5240     4199     6281 18.1 14.5 21.7     1695     1353     2037 23.8 19.0 28.6     1089      856     1323 21.5 16.9 26.1  22698  20323  25061                                        Franklin County                               AL
01  61     4798     3849     5747 19.4 15.6 23.3     1561     1241     1882 25.6 20.4 30.9     1010      789     1231 23.1 18.1 28.2  23098  20837  25347                                        Geneva County                                 AL
01  63     3896     3103     4690 38.8 30.9 46.6     1548     1224     1871 47.8 37.8 57.8     1103      859     1348 46.1 35.8 56.3  14288  11984  16580                                        Greene County                                 AL
01  65     5028     4019     6037 31.4 25.1 37.7     1974     1569     2380 39.2 31.2 47.3     1381     1080     1681 38.3 30.0 46.6  16761  14452  19057                                        Hale County                                   AL
01  67     3023     2414     3632 19.1 15.3 23.0     1042      823     1260 25.3 20.0 30.6      708      552      863 23.5 18.4 28.7  24581  22301  26849                                        Henry County                                  AL
01  69    15071    12101    18041 18.0 14.5 21.6     5760     4609     6912 25.3 20.2 30.3     3746     2953     4538 23.3 18.4 28.3  28063  25807  30307                                        Houston County                                AL
01  71     8046     6457     9635 16.1 12.9 19.3     2669     2133     3206 21.2 17.0 25.5     1712     1348     2076 18.7 14.8 22.7  26198  23899  28485                                        Jackson County                                AL
01  73   123089   100654   145525 18.6 15.2 22.0    43775    35285    52265 26.7 21.5 31.8    28049    22248    33850 24.5 19.5 29.6  28257  26284  30219                                        Jefferson County                              AL
01  75     2827     2265     3388 17.9 14.4 21.5      899      714     1083 22.6 18.0 27.2      581      454      708 20.3 15.9 24.8  23369  21107  25618                                        Lamar County                                  AL
01  77    11433     9214    13653 13.9 11.2 16.5     3803     3046     4561 19.3 15.4 23.1     2421     1909     2932 17.3 13.7 21.0  28181  26002  30348                                        Lauderdale County                             AL
01  79     5818     4697     6940 17.8 14.4 21.3     2113     1690     2537 24.3 19.4 29.2     1403     1104     1702 22.9 18.0 27.8  25538  23339  27725                                        Lawrence County                               AL
01  81    16371    13019    19723 18.5 14.7 22.3     4409     3515     5302 21.9 17.4 26.3     2816     2211     3421 20.3 15.9 24.6  27622  25303  29928                                        Lee County                                    AL
01  83     8425     6751    10099 14.6 11.7 17.5     2732     2174     3291 18.6 14.8 22.4     1729     1356     2102 16.8 13.1 20.4  31082  28830  33322                                        Limestone County                              AL
01  85     4688     3722     5653 36.3 28.8 43.8     1957     1548     2366 44.3 35.1 53.6     1387     1079     1694 44.6 34.7 54.4  16325  13840  18797                                        Lowndes County                                AL
01  87     7861     6259     9464 35.3 28.1 42.5     2774     2202     3346 44.1 35.0 53.1     1858     1452     2264 43.0 33.6 52.5  18506  16217  20783                                        Macon County                                  AL
01  89    34603    27960    41247 12.9 10.4 15.4    12666    10142    15190 19.2 15.4 23.0     7695     6062     9328 17.3 13.6 20.9  39713  37553  41862                                        Madison County                                AL
01  91     6691     5418     7964 28.4 23.0 33.8     2577     2067     3086 36.7 29.4 43.9     1722     1360     2084 34.1 27.0 41.3  21730  19613  23835                                        Marengo County                                AL
01  93     5394     4320     6468 18.0 14.5 21.6     1737     1382     2092 23.7 18.9 28.6     1121      878     1364 21.4 16.8 26.0  22855  20577  25122                                        Marion County                                 AL
01  95    11292     9154    13429 14.7 11.9 17.4     3763     3026     4499 20.1 16.2 24.0     2347     1858     2836 17.6 14.0 21.3  26114  24027  28189                                        Marshall County                               AL
01  97    95534    77576   113491 24.3 19.7 28.8    39405    31653    47156 35.3 28.3 42.2    25442    20120    30764 32.7 25.9 39.6  25599  23513  27675                                        Mobile County                                 AL
