,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014","Mortality Rate, 1981*","Mortality Rate, 1982*","Mortality Rate, 1983*","Mortality Rate, 1984*","Mortality Rate, 1986*","Mortality Rate, 1987*","Mortality Rate, 1988*","Mortality Rate, 1989*","Mortality Rate, 1991*","Mortality Rate, 1992*","Mortality Rate, 1993*","Mortality Rate, 1994*","Mortality Rate, 1996*","Mortality Rate, 1997*","Mortality Rate, 1998*","Mortality Rate, 1999*","Mortality Rate, 2001*","Mortality Rate, 2002*","Mortality Rate, 2003*","Mortality Rate, 2004*","Mortality Rate, 2006*","Mortality Rate, 2007*","Mortality Rate, 2008*","Mortality Rate, 2009*","Mortality Rate, 2011*","Mortality Rate, 2012*","Mortality Rate, 2013*"
0,United States,,507.37,468.1,410.43,384.09,349.75,298.31,257.23,252.7,"-50.20 (-50.82, -49.55)",499.516,491.662,483.808,475.954,456.56600000000003,445.03200000000004,433.498,421.96400000000006,405.16200000000003,399.894,394.626,389.358,377.222,370.354,363.486,356.618,339.462,329.174,318.88599999999997,308.598,290.09400000000005,281.878,273.66200000000003,265.446,256.324,255.418,254.512
1,Alabama,1.0,516.87,485.17,436.61,414.45,397.4,352.09,310.55,310.59,"-39.91 (-40.97, -38.84)",510.53000000000003,504.19000000000005,497.85,491.51000000000005,475.458,465.746,456.034,446.322,432.178,427.746,423.31399999999996,418.882,411.04,407.63,404.21999999999997,400.81,388.338,379.27599999999995,370.214,361.152,343.782,335.474,327.166,318.858,310.558,310.56600000000003,310.574
2,"Autauga County, Alabama",1001.0,552.68,523.12,470.3,437.74,413.92,368.83,316.82,316.36,"-42.76 (-47.26, -37.68)",546.768,540.856,534.944,529.032,512.556,501.992,491.428,480.86400000000003,463.788,457.276,450.764,444.252,432.976,428.212,423.448,418.684,404.90200000000004,395.884,386.866,377.848,358.428,348.02599999999995,337.624,327.22200000000004,316.728,316.63599999999997,316.544
3,"Baldwin County, Alabama",1003.0,445.67,419.28,379.58,357.73,333.18,308.99,279.98,272.04,"-38.96 (-42.73, -34.94)",440.39200000000005,435.114,429.836,424.558,411.34,403.4,395.46,387.52,375.21,370.84000000000003,366.47,362.1,352.82000000000005,347.91,343.0,338.09000000000003,328.34200000000004,323.504,318.66600000000005,313.82800000000003,303.188,297.386,291.584,285.78200000000004,278.39200000000005,276.80400000000003,275.216
4,"Barbour County, Alabama",1005.0,515.53,468.71,417.73,387.08,364.29,301.04,264.63,255.09,"-50.52 (-54.72, -45.98)",506.166,496.802,487.438,478.074,458.514,448.318,438.122,427.92600000000004,411.6,405.47,399.34000000000003,393.21,382.522,377.964,373.406,368.848,351.64000000000004,338.99,326.34000000000003,313.69000000000005,293.75800000000004,286.476,279.194,271.91200000000003,262.722,260.81399999999996,258.906
5,"Bibb County, Alabama",1007.0,548.69,532.76,484.34,491.84,463.34,409.25,374.27,378.09,"-31.09 (-37.21, -24.74)",545.504,542.318,539.1320000000001,535.946,523.076,513.392,503.70799999999997,494.024,485.84,487.34,488.84,490.34,486.14,480.44,474.73999999999995,469.04,452.52200000000005,441.70399999999995,430.88599999999997,420.06800000000004,402.254,395.258,388.262,381.266,375.034,375.798,376.562
6,"Blount County, Alabama",1009.0,473.26,451.88,412.63,399.31,378.91,347.79,307.45,307.9,"-34.94 (-40.33, -29.47)",468.98400000000004,464.70799999999997,460.432,456.156,444.03000000000003,436.18,428.33,420.48,409.96600000000007,407.302,404.63800000000003,401.97400000000005,395.23,391.15,387.07000000000005,382.99000000000007,372.68600000000004,366.462,360.23800000000006,354.014,339.72200000000004,331.654,323.586,315.51800000000003,307.54,307.63,307.71999999999997
7,"Bullock County, Alabama",1011.0,597.64,554.67,489.31,473.94,441.62,391.51,344.74,322.56,"-46.03 (-51.20, -40.25)",589.046,580.452,571.858,563.264,541.598,528.526,515.454,502.38200000000006,486.23600000000005,483.16200000000003,480.08799999999997,477.01400000000007,467.47600000000006,461.012,454.548,448.08400000000006,431.59800000000007,421.576,411.554,401.53200000000004,382.15600000000006,372.802,363.448,354.09400000000005,340.30400000000003,335.868,331.432
8,"Butler County, Alabama",1013.0,550.37,521.27,480.51,476.14,448.95,422.02,377.33,382.55,"-30.49 (-36.39, -24.17)",544.5500000000001,538.73,532.9100000000001,527.09,513.118,504.966,496.81399999999996,488.66200000000003,479.636,478.762,477.888,477.014,470.70200000000006,465.264,459.826,454.38800000000003,443.564,438.178,432.79200000000003,427.406,413.082,404.144,395.206,386.268,378.37399999999997,379.418,380.462
9,"Calhoun County, Alabama",1015.0,537.99,499.67,460.7,447.25,451.62,414.93,371.19,368.25,"-31.55 (-35.51, -26.97)",530.326,522.662,514.998,507.33400000000006,491.87600000000003,484.082,476.288,468.494,458.01,455.31999999999994,452.63,449.94,448.124,448.998,449.87199999999996,450.74600000000004,444.28200000000004,436.94399999999996,429.606,422.26800000000003,406.182,397.43399999999997,388.68600000000004,379.938,370.602,370.014,369.426
10,"Chambers County, Alabama",1017.0,485.45,469.38,421.35,415.96,400.87,366.22,329.55,326.33,"-32.78 (-37.71, -27.36)",482.236,479.022,475.808,472.59400000000005,459.774,450.168,440.562,430.956,420.27200000000005,419.194,418.116,417.038,412.942,409.924,406.906,403.88800000000003,393.94000000000005,387.01,380.08000000000004,373.1500000000001,358.8860000000001,351.552,344.218,336.88400000000007,328.90600000000006,328.262,327.618
11,"Cherokee County, Alabama",1019.0,542.97,497.49,442.45,421.88,396.95,349.86,300.23,301.07,"-44.55 (-49.40, -39.34)",533.874,524.778,515.682,506.586,486.482,475.474,464.466,453.458,438.336,434.222,430.108,425.994,416.894,411.908,406.922,401.93600000000004,387.53200000000004,378.11400000000003,368.696,359.278,339.934,330.00800000000004,320.082,310.15600000000006,300.398,300.56600000000003,300.73400000000004
12,"Chilton County, Alabama",1021.0,547.04,516.49,472.86,457.97,442.11,398.26,351.97,351.7,"-35.71 (-40.70, -30.68)",540.9300000000001,534.8199999999999,528.71,522.6,507.764,499.038,490.312,481.586,469.882,466.904,463.926,460.94800000000004,454.79800000000006,451.626,448.45400000000006,445.28200000000004,433.34000000000003,424.57000000000005,415.8,407.03000000000003,389.002,379.744,370.486,361.228,351.91600000000005,351.862,351.808
13,"Choctaw County, Alabama",1023.0,531.36,511.74,473.19,466.94,447.75,387.24,354.33,356.81,"-32.85 (-38.47, -26.25)",527.436,523.512,519.588,515.6640000000001,504.0300000000001,496.32,488.61,480.90000000000003,471.94000000000005,470.69,469.44,468.19000000000005,463.10200000000003,459.264,455.426,451.5880000000001,435.648,423.546,411.444,399.34200000000004,380.658,374.076,367.494,360.91200000000003,354.826,355.322,355.818
14,"Clarke County, Alabama",1025.0,552.28,514.67,454.11,430.28,406.29,361.11,316.86,313.4,"-43.25 (-47.97, -37.85)",544.758,537.236,529.7139999999999,522.192,502.558,490.44599999999997,478.334,466.222,449.344,444.578,439.81199999999995,435.046,425.48199999999997,420.68399999999997,415.88599999999997,411.088,397.254,388.218,379.182,370.1460000000001,352.26000000000005,343.41,334.56000000000006,325.71000000000004,316.168,315.476,314.784
15,"Clay County, Alabama",1027.0,489.58,480.02,450.0,457.78,447.89,419.05,379.96,390.37,"-20.26 (-27.83, -11.90)",487.668,485.756,483.844,481.932,474.016,468.012,462.00800000000004,456.004,451.556,453.11199999999997,454.66799999999995,456.224,455.802,453.82399999999996,451.846,449.868,442.122,436.354,430.586,424.818,411.232,403.414,395.596,387.778,382.04200000000003,384.124,386.206
16,"Cleburne County, Alabama",1029.0,520.06,505.48,467.03,450.34,427.01,400.22,361.21,360.18,"-30.74 (-36.52, -24.53)",517.144,514.228,511.312,508.396,497.79,490.1,482.40999999999997,474.72,463.692,460.3539999999999,457.01599999999996,453.678,445.674,441.0079999999999,436.342,431.676,421.65200000000004,416.294,410.93600000000004,405.57800000000003,392.41800000000006,384.616,376.81399999999996,369.01200000000006,361.004,360.798,360.592
17,"Coffee County, Alabama",1031.0,448.47,433.52,399.56,394.63,386.29,338.77,304.79,310.93,"-30.67 (-36.53, -24.65)",445.4800000000001,442.49,439.5,436.51000000000005,426.72800000000007,419.936,413.144,406.35200000000003,398.574,397.58799999999997,396.602,395.616,392.962,391.294,389.626,387.958,376.78600000000006,367.28200000000004,357.778,348.274,331.97400000000005,325.178,318.382,311.586,306.01800000000003,307.246,308.474
18,"Colbert County, Alabama",1033.0,514.95,500.71,455.44,426.78,390.56,348.79,298.78,308.32,"-40.13 (-44.68, -35.53)",512.1020000000001,509.254,506.406,503.558,491.656,482.602,473.548,464.494,449.708,443.976,438.244,432.512,419.536,412.29200000000003,405.048,397.80400000000003,382.206,373.852,365.49800000000005,357.14400000000006,338.788,328.786,318.784,308.78200000000004,300.688,302.596,304.504
19,"Conecuh County, Alabama",1035.0,533.95,506.37,461.99,451.56,439.07,375.49,334.88,349.78,"-34.49 (-41.00, -27.51)",528.4340000000001,522.918,517.402,511.886,497.494,488.61800000000005,479.742,470.86600000000004,459.90400000000005,457.81800000000004,455.73199999999997,453.6460000000001,449.06200000000007,446.56399999999996,444.06600000000003,441.56800000000004,426.35400000000004,413.63800000000003,400.922,388.206,367.368,359.246,351.124,343.002,337.86,340.84000000000003,343.81999999999994
20,"Coosa County, Alabama",1037.0,502.43,473.02,426.37,413.41,391.76,337.27,296.16,301.93,"-39.91 (-45.72, -33.25)",496.548,490.66599999999994,484.784,478.902,463.69,454.35999999999996,445.03,435.7,423.778,421.18600000000004,418.594,416.00200000000007,409.08000000000004,404.75,400.42,396.09000000000003,380.862,369.96399999999994,359.06600000000003,348.168,329.048,320.826,312.604,304.382,297.314,298.468,299.622
21,"Covington County, Alabama",1039.0,510.27,475.07,422.2,421.04,393.56,353.37,312.32,318.86,"-37.51 (-42.33, -32.34)",503.23,496.19,489.15,482.11,464.49600000000004,453.92199999999997,443.348,432.774,421.968,421.736,421.504,421.27200000000005,415.54400000000004,410.048,404.552,399.05600000000004,385.52200000000005,377.48400000000004,369.446,361.408,345.16,336.95,328.74,320.53,313.628,314.93600000000004,316.244
22,"Crenshaw County, Alabama",1041.0,522.87,490.6,441.6,420.4,395.03,347.32,311.51,313.72,"-40.00 (-45.72, -34.05)",516.416,509.962,503.50800000000004,497.05400000000003,480.8,471.0,461.2,451.40000000000003,437.36,433.12,428.88,424.64,415.326,410.25199999999995,405.178,400.104,385.488,375.94599999999997,366.404,356.86199999999997,340.158,332.996,325.83399999999995,318.672,311.952,312.394,312.836
23,"Cullman County, Alabama",1043.0,483.06,460.01,425.81,426.23,422.69,378.46,352.4,350.97,"-27.34 (-32.93, -22.03)",478.45000000000005,473.84000000000003,469.23,464.62000000000006,453.1700000000001,446.33,439.49,432.65000000000003,425.894,425.978,426.062,426.1460000000001,425.52200000000005,424.814,424.106,423.398,413.84400000000005,404.99799999999993,396.15200000000004,387.306,373.248,368.036,362.82399999999996,357.612,352.11400000000003,351.828,351.54200000000003
24,"Dale County, Alabama",1045.0,466.1,449.14,403.21,399.9,384.54,333.37,298.51,291.55,"-37.45 (-42.40, -32.54)",462.7080000000001,459.31600000000003,455.924,452.53200000000004,439.954,430.768,421.582,412.39599999999996,402.548,401.88599999999997,401.22399999999993,400.562,396.82800000000003,393.756,390.68399999999997,387.6120000000001,374.30600000000004,364.072,353.838,343.60400000000004,326.398,319.426,312.454,305.48199999999997,297.118,295.726,294.334
25,"Dallas County, Alabama",1047.0,503.84,490.61,465.11,474.38,455.6,433.61,403.33,412.98,"-18.03 (-23.97, -11.77)",501.194,498.548,495.902,493.2560000000001,485.51000000000005,480.40999999999997,475.31,470.21000000000004,466.96400000000006,468.818,470.672,472.526,470.624,466.868,463.112,459.356,451.202,446.80400000000003,442.406,438.00800000000004,427.55400000000003,421.498,415.442,409.38599999999997,405.26,407.19,409.12
26,"DeKalb County, Alabama",1049.0,540.16,532.32,485.05,456.37,441.29,410.6,365.48,354.46,"-34.38 (-38.86, -29.50)",538.592,537.024,535.456,533.888,522.8660000000001,513.412,503.95799999999997,494.504,479.314,473.578,467.842,462.106,453.35400000000004,450.338,447.322,444.30600000000004,435.15200000000004,429.014,422.87600000000003,416.73800000000006,401.576,392.552,383.528,374.504,363.276,361.072,358.868
27,"Elmore County, Alabama",1051.0,559.31,515.32,453.03,425.79,380.5,322.81,281.11,277.36,"-50.41 (-53.90, -46.55)",550.512,541.7139999999999,532.9159999999999,524.118,502.8620000000001,490.404,477.946,465.488,447.582,442.134,436.686,431.23800000000006,416.7320000000001,407.674,398.616,389.55800000000005,368.96200000000005,357.424,345.886,334.348,314.47,306.13,297.78999999999996,289.45000000000005,280.36,279.61,278.86
28,"Escambia County, Alabama",1053.0,529.06,499.78,456.69,440.7,424.96,383.26,341.14,350.49,"-33.75 (-38.50, -28.43)",523.204,517.348,511.49199999999996,505.636,491.16200000000003,482.544,473.92600000000004,465.30800000000005,453.492,450.294,447.096,443.898,437.552,434.404,431.256,428.108,416.62,408.28,399.94,391.6,374.836,366.412,357.988,349.56399999999996,343.01,344.88,346.75
29,"Etowah County, Alabama",1055.0,543.85,522.92,471.17,435.46,436.46,396.91,364.18,356.71,"-34.41 (-38.36, -30.16)",539.664,535.4780000000001,531.2919999999999,527.106,512.57,502.21999999999997,491.87,481.52000000000004,464.028,456.88599999999997,449.74399999999997,442.602,435.65999999999997,435.85999999999996,436.05999999999995,436.26,428.55,420.64,412.73,404.82000000000005,390.36400000000003,383.818,377.27200000000005,370.726,362.686,361.192,359.698
30,"Fayette County, Alabama",1057.0,476.39,449.73,418.25,413.67,408.17,359.12,321.72,326.56,"-31.45 (-37.72, -24.91)",471.05800000000005,465.726,460.394,455.06200000000007,443.4340000000001,437.13800000000003,430.842,424.54600000000005,417.33400000000006,416.418,415.502,414.586,412.57000000000005,411.47,410.37,409.2700000000001,398.36000000000007,388.54999999999995,378.74,368.93,351.64,344.16,336.68,329.20000000000005,322.68800000000005,323.656,324.624
31,"Franklin County, Alabama",1059.0,553.24,528.08,499.75,485.89,458.91,405.36,378.92,375.76,"-32.08 (-37.47, -26.08)",548.2080000000001,543.176,538.144,533.1120000000001,522.4140000000001,516.748,511.082,505.41600000000005,496.978,494.20599999999996,491.43399999999997,488.662,480.494,475.098,469.702,464.30600000000004,448.20000000000005,437.49,426.78000000000003,416.07000000000005,400.072,394.784,389.496,384.208,378.288,377.656,377.024
32,"Geneva County, Alabama",1061.0,516.35,494.67,445.62,435.25,413.1,367.73,326.34,330.38,"-36.02 (-41.11, -29.81)",512.014,507.678,503.34200000000004,499.0060000000001,484.86000000000007,475.05000000000007,465.24,455.43000000000006,443.54600000000005,441.47200000000004,439.398,437.32400000000007,430.82000000000005,426.39,421.96000000000004,417.53000000000003,404.026,394.952,385.87800000000004,376.80400000000003,359.452,351.174,342.89599999999996,334.618,327.148,327.956,328.764
33,"Greene County, Alabama",1063.0,535.74,497.08,442.19,425.04,400.0,339.13,295.08,304.94,"-43.08 (-48.84, -36.87)",528.008,520.2760000000001,512.544,504.812,486.102,475.124,464.14599999999996,453.168,438.76,435.33,431.9,428.47,420.03200000000004,415.024,410.016,405.00800000000004,387.826,375.65200000000004,363.47799999999995,351.30400000000003,330.32000000000005,321.51,312.7,303.89,297.052,299.024,300.996
34,"Hale County, Alabama",1065.0,583.82,548.35,502.58,485.96,459.08,414.19,366.13,361.32,"-38.11 (-43.74, -32.11)",576.7260000000001,569.6320000000001,562.538,555.4440000000001,539.196,530.042,520.888,511.73400000000004,499.25600000000003,495.932,492.60799999999995,489.28400000000005,480.58400000000006,475.20799999999997,469.832,464.456,450.10200000000003,441.124,432.14599999999996,423.168,404.57800000000003,394.966,385.35400000000004,375.742,365.168,364.206,363.244
35,"Henry County, Alabama",1067.0,559.4,521.65,454.98,437.33,404.86,364.68,311.34,300.75,"-46.24 (-51.19, -40.83)",551.85,544.3,536.75,529.2,508.31600000000003,494.98199999999997,481.648,468.314,451.45000000000005,447.92,444.39,440.86,430.836,424.342,417.848,411.35400000000004,396.82400000000007,388.788,380.752,372.716,354.01200000000006,343.344,332.676,322.00800000000004,309.222,307.104,304.986
36,"Houston County, Alabama",1069.0,506.26,469.14,403.98,403.92,389.14,341.69,301.74,300.26,"-40.69 (-44.87, -36.28)",498.836,491.412,483.988,476.564,456.108,443.076,430.044,417.01200000000006,403.968,403.956,403.944,403.932,400.96400000000006,398.00800000000004,395.052,392.096,379.65000000000003,370.15999999999997,360.66999999999996,351.18000000000006,333.70000000000005,325.71,317.72,309.73,301.444,301.148,300.852
37,"Jackson County, Alabama",1071.0,576.29,550.7,514.03,490.28,444.39,398.78,349.86,355.9,"-38.24 (-42.51, -33.45)",571.172,566.054,560.936,555.8180000000001,543.3660000000001,536.032,528.698,521.364,509.28,504.53,499.78,495.03,481.102,471.924,462.746,453.568,435.26800000000003,426.14599999999996,417.024,407.902,388.996,379.212,369.428,359.644,351.06800000000004,352.27599999999995,353.48400000000004
38,"Jefferson County, Alabama",1073.0,487.64,459.55,409.58,377.0,371.53,341.35,301.11,313.01,"-35.81 (-38.22, -33.19)",482.02200000000005,476.404,470.78600000000006,465.16800000000006,449.55600000000004,439.562,429.568,419.574,403.06399999999996,396.548,390.032,383.516,375.906,374.812,373.71799999999996,372.624,365.494,359.45799999999997,353.422,347.386,333.302,325.254,317.206,309.158,303.49,305.87,308.25
39,"Lamar County, Alabama",1075.0,541.52,508.9,459.12,452.42,433.67,377.16,326.07,326.28,"-39.75 (-45.79, -33.54)",534.996,528.472,521.948,515.424,498.944,488.988,479.032,469.076,457.7800000000001,456.44,455.1,453.76000000000005,448.6700000000001,444.92,441.17,437.4200000000001,422.36800000000005,411.06600000000003,399.764,388.462,366.942,356.72400000000005,346.506,336.288,326.11199999999997,326.154,326.19599999999997
40,"Lauderdale County, Alabama",1077.0,438.63,401.13,363.7,354.98,333.41,295.84,262.04,263.0,"-40.04 (-44.16, -35.87)",431.13,423.63,416.13,408.63,393.644,386.158,378.672,371.186,361.956,360.212,358.46799999999996,356.72400000000005,350.66600000000005,346.352,342.038,337.72400000000005,325.896,318.382,310.868,303.354,289.08,282.32,275.56,268.8,262.232,262.42400000000004,262.616
41,"Lawrence County, Alabama",1079.0,535.99,526.11,479.12,468.33,449.65,393.27,348.88,353.66,"-34.02 (-39.48, -28.58)",534.014,532.038,530.062,528.086,516.712,507.314,497.916,488.51800000000003,476.96200000000005,474.804,472.646,470.488,464.594,460.858,457.12199999999996,453.386,438.374,427.09799999999996,415.822,404.546,384.392,375.514,366.63599999999997,357.758,349.836,350.79200000000003,351.748
42,"Lee County, Alabama",1081.0,562.7,517.23,455.45,429.87,393.24,339.1,282.02,291.35,"-48.22 (-51.46, -44.59)",553.6060000000001,544.5120000000001,535.4180000000001,526.3240000000001,504.874,492.51800000000003,480.16200000000003,467.80600000000004,450.334,445.21799999999996,440.102,434.986,422.54400000000004,415.21799999999996,407.892,400.56600000000003,382.41200000000003,371.584,360.75600000000003,349.92800000000005,327.684,316.26800000000003,304.852,293.436,283.88599999999997,285.752,287.618
43,"Limestone County, Alabama",1083.0,561.62,521.25,456.79,438.62,408.14,354.43,301.09,307.06,"-45.33 (-49.18, -41.10)",553.546,545.472,537.398,529.3240000000001,508.358,495.466,482.574,469.682,453.156,449.52200000000005,445.888,442.254,432.524,426.428,420.332,414.236,397.398,386.656,375.914,365.172,343.76200000000006,333.094,322.426,311.758,302.284,303.47799999999995,304.67199999999997
44,"Lowndes County, Alabama",1085.0,530.88,514.93,476.67,479.03,462.78,435.57,392.82,399.51,"-24.75 (-31.80, -16.90)",527.69,524.5,521.31,518.12,507.27799999999996,499.626,491.974,484.322,477.142,477.61400000000003,478.08599999999996,478.558,475.78,472.53,469.28,466.03,457.33799999999997,451.89599999999996,446.45399999999995,441.012,427.02000000000004,418.47,409.91999999999996,401.37,394.158,395.496,396.834
45,"Macon County, Alabama",1087.0,537.46,516.09,475.86,468.87,453.45,408.79,371.47,383.22,"-28.70 (-34.74, -22.13)",533.1860000000001,528.912,524.638,520.364,508.0440000000001,499.99800000000005,491.95200000000006,483.90600000000006,474.46200000000005,473.064,471.66600000000005,470.26800000000003,465.786,462.702,459.618,456.534,444.51800000000003,435.586,426.654,417.72200000000004,401.326,393.862,386.398,378.9340000000001,373.82000000000005,376.17,378.52000000000004
46,"Madison County, Alabama",1089.0,527.54,478.74,401.88,373.5,341.57,275.85,236.12,228.24,"-56.74 (-58.98, -54.44)",517.78,508.02,498.26,488.5,463.36800000000005,447.996,432.624,417.252,396.204,390.528,384.852,379.17600000000004,367.11400000000003,360.728,354.342,347.956,328.42600000000004,315.282,302.13800000000003,288.994,267.90400000000005,259.958,252.012,244.06600000000003,234.544,232.96800000000002,231.392
47,"Marengo County, Alabama",1091.0,553.97,526.71,471.66,462.32,442.7,401.31,368.38,371.26,"-32.98 (-38.60, -27.02)",548.518,543.066,537.614,532.162,515.7,504.69000000000005,493.68,482.6700000000001,469.79200000000003,467.924,466.05600000000004,464.188,458.396,454.472,450.548,446.624,434.422,426.144,417.866,409.588,394.724,388.13800000000003,381.552,374.966,368.956,369.532,370.108
48,"Marion County, Alabama",1093.0,465.79,456.05,427.88,430.31,420.4,392.99,360.38,370.65,"-20.43 (-26.38, -13.51)",463.8420000000001,461.894,459.946,457.99800000000005,450.41600000000005,444.78200000000004,439.148,433.514,428.36600000000004,428.85200000000003,429.33799999999997,429.82400000000007,428.32800000000003,426.346,424.36400000000003,422.382,414.918,409.43600000000004,403.95399999999995,398.47200000000004,386.4680000000001,379.946,373.424,366.90200000000004,362.434,364.48799999999994,366.54200000000003
49,"Marshall County, Alabama",1095.0,548.18,526.18,478.63,448.34,426.52,387.63,338.31,337.06,"-38.51 (-42.67, -34.12)",543.78,539.3799999999999,534.98,530.5799999999999,516.67,507.15999999999997,497.65,488.14,472.572,466.514,460.45599999999996,454.398,443.976,439.61199999999997,435.248,430.884,418.742,410.964,403.186,395.408,377.7660000000001,367.902,358.038,348.17400000000004,338.06000000000006,337.81,337.56
50,"Mobile County, Alabama",1097.0,529.17,493.01,444.28,417.85,420.99,374.0,325.41,328.48,"-37.93 (-40.79, -34.79)",521.938,514.7059999999999,507.474,500.242,483.264,473.518,463.772,454.02599999999995,438.99399999999997,433.70799999999997,428.422,423.136,418.47800000000007,419.106,419.73400000000004,420.362,411.59200000000004,402.19399999999996,392.79600000000005,383.398,364.282,354.564,344.846,335.12800000000004,326.02400000000006,326.63800000000003,327.252
51,"Monroe County, Alabama",1099.0,483.01,460.46,409.98,402.58,394.05,354.28,328.38,329.76,"-31.73 (-37.88, -25.59)",478.5,473.99,469.47999999999996,464.97,450.36400000000003,440.268,430.172,420.076,408.50000000000006,407.02,405.53999999999996,404.06000000000006,400.874,399.168,397.462,395.75600000000003,386.096,378.142,370.188,362.234,349.09999999999997,343.91999999999996,338.74,333.56,328.656,328.932,329.20799999999997
52,"Montgomery County, Alabama",1101.0,548.36,479.54,436.53,391.68,361.49,311.66,276.34,276.23,"-49.63 (-52.22, -46.72)",534.596,520.8320000000001,507.068,493.3040000000001,470.93800000000005,462.336,453.734,445.132,427.56,418.59,409.62,400.65000000000003,385.64200000000005,379.604,373.56600000000003,367.528,351.524,341.558,331.592,321.62600000000003,304.596,297.53200000000004,290.46799999999996,283.404,276.318,276.296,276.274
53,"Morgan County, Alabama",1103.0,521.41,495.82,449.25,424.7,405.61,355.79,337.36,320.29,"-38.57 (-42.39, -34.68)",516.292,511.174,506.0559999999999,500.938,486.50600000000003,477.192,467.87800000000004,458.564,444.34000000000003,439.43,434.52,429.61,420.882,417.064,413.246,409.42800000000005,395.6460000000001,385.682,375.7180000000001,365.754,352.10400000000004,348.418,344.73199999999997,341.04600000000005,333.946,330.53200000000004,327.11800000000005
54,"Perry County, Alabama",1105.0,450.56,439.64,426.04,444.4,447.6,419.85,382.03,399.7,"-11.29 (-20.84, -1.43)",448.37600000000003,446.192,444.00800000000004,441.824,436.92,434.20000000000005,431.48,428.76000000000005,429.71200000000005,433.384,437.05600000000004,440.728,445.03999999999996,445.68,446.32,446.96000000000004,442.05000000000007,436.5,430.95000000000005,425.4000000000001,412.28600000000006,404.722,397.158,389.594,385.56399999999996,389.09799999999996,392.63199999999995
55,"Pickens County, Alabama",1107.0,510.68,488.52,444.81,444.93,437.38,387.5,341.71,338.96,"-33.63 (-39.55, -27.63)",506.24800000000005,501.81600000000003,497.384,492.95200000000006,479.778,471.03599999999994,462.294,453.552,444.834,444.85799999999995,444.88199999999995,444.906,443.42,441.90999999999997,440.4,438.89,427.404,417.428,407.452,397.476,378.342,369.18399999999997,360.02599999999995,350.868,341.15999999999997,340.61,340.05999999999995
56,"Pike County, Alabama",1109.0,538.99,505.92,455.07,455.77,427.07,368.7,327.19,322.38,"-40.19 (-44.72, -34.87)",532.376,525.7620000000001,519.148,512.5340000000001,495.75000000000006,485.58000000000004,475.40999999999997,465.24000000000007,455.21000000000004,455.34999999999997,455.49,455.63,450.03,444.28999999999996,438.54999999999995,432.81,415.396,403.722,392.048,380.37399999999997,360.39799999999997,352.096,343.794,335.492,326.228,325.26599999999996,324.304
57,"Randolph County, Alabama",1111.0,541.85,527.68,476.89,465.04,442.67,388.28,353.67,354.06,"-34.66 (-39.96, -28.83)",539.0160000000001,536.182,533.348,530.514,517.522,507.3639999999999,497.20599999999996,487.048,474.52,472.15,469.78,467.41,460.56600000000003,456.092,451.618,447.144,431.79200000000003,420.914,410.03599999999994,399.158,381.35800000000006,374.436,367.514,360.59200000000004,353.74800000000005,353.826,353.904
58,"Russell County, Alabama",1113.0,746.17,688.77,575.81,517.91,464.88,378.44,319.54,294.76,"-60.50 (-63.26, -57.43)",734.69,723.2099999999999,711.73,700.25,666.178,643.586,620.9939999999999,598.4019999999999,564.23,552.6499999999999,541.0699999999999,529.49,507.304,496.698,486.092,475.486,447.592,430.304,413.01599999999996,395.728,366.66,354.88,343.1,331.32000000000005,314.58400000000006,309.62800000000004,304.672
59,"Saint Clair County, Alabama",1115.0,497.45,472.11,436.31,427.3,401.89,368.37,330.85,338.03,"-32.05 (-36.82, -26.72)",492.38200000000006,487.31399999999996,482.24600000000004,477.17800000000005,464.95000000000005,457.79,450.63,443.47,434.50800000000004,432.706,430.904,429.10200000000003,422.218,417.13599999999997,412.054,406.972,395.18600000000004,388.48199999999997,381.778,375.074,360.86600000000004,353.36199999999997,345.85800000000006,338.35400000000004,332.286,333.722,335.158
60,"Shelby County, Alabama",1117.0,524.58,463.7,400.74,365.26,326.19,271.22,235.12,232.57,"-55.67 (-58.73, -52.50)",512.404,500.228,488.052,475.87600000000003,451.10800000000006,438.51599999999996,425.924,413.33200000000005,393.64400000000006,386.548,379.452,372.35600000000005,357.446,349.63199999999995,341.818,334.004,315.196,304.202,293.20799999999997,282.21400000000006,264.0,256.78,249.56,242.34,234.61,234.10000000000002,233.59
61,"Sumter County, Alabama",1119.0,495.1,467.02,424.83,416.92,401.77,361.41,324.58,325.61,"-34.23 (-39.89, -27.76)",489.48400000000004,483.868,478.252,472.63599999999997,458.582,450.144,441.70599999999996,433.26800000000003,423.24800000000005,421.666,420.084,418.50200000000007,413.89000000000004,410.86,407.83000000000004,404.8,393.698,385.626,377.554,369.482,354.04400000000004,346.678,339.312,331.946,324.786,324.99199999999996,325.198
62,"Talladega County, Alabama",1121.0,549.09,516.93,485.63,457.07,429.49,374.59,337.37,337.15,"-38.60 (-42.59, -34.09)",542.658,536.226,529.794,523.362,510.66999999999996,504.40999999999997,498.15,491.89,479.918,474.206,468.49399999999997,462.78200000000004,451.55400000000003,446.038,440.52200000000005,435.00600000000003,418.51000000000005,407.53,396.55,385.57,367.14599999999996,359.702,352.258,344.814,337.326,337.282,337.238
