,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014","Mortality Rate, 1981*","Mortality Rate, 1982*","Mortality Rate, 1983*","Mortality Rate, 1984*","Mortality Rate, 1986*","Mortality Rate, 1987*","Mortality Rate, 1988*","Mortality Rate, 1989*","Mortality Rate, 1991*","Mortality Rate, 1992*","Mortality Rate, 1993*","Mortality Rate, 1994*","Mortality Rate, 1996*","Mortality Rate, 1997*","Mortality Rate, 1998*","Mortality Rate, 1999*","Mortality Rate, 2001*","Mortality Rate, 2002*","Mortality Rate, 2003*","Mortality Rate, 2004*","Mortality Rate, 2006*","Mortality Rate, 2007*","Mortality Rate, 2008*","Mortality Rate, 2009*","Mortality Rate, 2011*","Mortality Rate, 2012*","Mortality Rate, 2013*"
2886,"Campbell County, Virginia",51031.0,505.19,456.67,394.2,375.84,336.17,281.68,247.17,244.45,"-51.61 (-55.31, -47.73)",495.48600000000005,485.782,476.07800000000003,466.374,444.17600000000004,431.682,419.188,406.694,390.528,386.856,383.18399999999997,379.51199999999994,367.90599999999995,359.972,352.038,344.10400000000004,325.27200000000005,314.374,303.476,292.57800000000003,274.778,267.876,260.974,254.072,246.62599999999998,246.082,245.53799999999998
2887,"Caroline County, Virginia",51033.0,522.89,484.72,417.09,392.83,361.88,305.02,264.32,265.16,"-49.29 (-53.29, -44.56)",515.2560000000001,507.622,499.988,492.35400000000004,471.1940000000001,457.668,444.142,430.61600000000004,412.23800000000006,407.38599999999997,402.534,397.682,386.64,380.45,374.26,368.07000000000005,350.50800000000004,339.13599999999997,327.764,316.392,296.88,288.74,280.59999999999997,272.46000000000004,264.48800000000006,264.656,264.824
2888,"Carroll County, Virginia",51035.0,457.19,437.23,395.63,381.34,354.76,316.74,276.11,276.67,"-39.48 (-44.54, -34.08)",453.19800000000004,449.206,445.21400000000006,441.22200000000004,428.9100000000001,420.59000000000003,412.27,403.95000000000005,392.77200000000005,389.914,387.056,384.198,376.024,370.70799999999997,365.392,360.076,347.156,339.552,331.948,324.34400000000005,308.61400000000003,300.48800000000006,292.362,284.23600000000005,276.22200000000004,276.334,276.446
2889,"Charles City County, Virginia",51036.0,636.6,565.31,470.69,431.53,387.88,303.02,262.33,265.07,"-58.36 (-62.67, -53.53)",622.342,608.084,593.826,579.568,546.386,527.462,508.538,489.61400000000003,462.858,455.02599999999995,447.19399999999996,439.36199999999997,422.8,414.06999999999994,405.34,396.61,370.908,353.936,336.964,319.992,294.882,286.74399999999997,278.606,270.468,262.878,263.426,263.974
2890,"Charlotte County, Virginia",51037.0,572.05,535.42,475.49,451.55,411.0,360.74,325.86,317.4,"-44.52 (-49.81, -38.59)",564.7239999999999,557.3979999999999,550.0719999999999,542.746,523.434,511.448,499.462,487.47600000000006,470.70200000000006,465.914,461.12600000000003,456.338,443.44,435.33000000000004,427.22,419.11,400.94800000000004,390.896,380.844,370.79200000000003,353.76400000000007,346.788,339.812,332.83600000000007,324.16800000000006,322.476,320.784
2891,"Charlottesville City, Virginia",51540.0,490.11,431.2,359.15,329.51,298.31,234.52,198.86,188.34,"-61.57 (-64.05, -58.73)",478.32800000000003,466.546,454.764,442.982,416.79,402.38,387.97,373.56,353.222,347.294,341.366,335.438,323.27,317.03,310.78999999999996,304.55,285.552,272.794,260.036,247.27800000000002,227.38800000000003,220.256,213.12400000000002,205.99200000000002,196.75600000000003,194.652,192.548
2892,"Chesapeake City, Virginia",51550.0,620.61,548.58,465.48,428.0,374.25,313.74,262.64,253.61,"-59.14 (-61.57, -56.54)",606.2040000000001,591.798,577.392,562.9860000000001,531.96,515.34,498.72,482.1,457.98400000000004,450.48800000000006,442.992,435.49600000000004,417.25000000000006,406.5,395.75,385.00000000000006,362.148,350.046,337.944,325.84200000000004,303.52000000000004,293.3,283.08,272.86,260.834,259.028,257.222
2893,"Chesterfield County, Virginia",51041.0,489.43,444.76,368.11,342.84,309.03,267.8,225.62,220.16,"-55.02 (-57.56, -52.21)",480.49600000000004,471.562,462.62800000000004,453.694,429.43,414.1,398.77,383.44,363.056,358.002,352.948,347.894,336.078,329.316,322.554,315.792,300.784,292.538,284.29200000000003,276.046,259.36400000000003,250.928,242.492,234.056,224.52800000000002,223.43599999999998,222.344
2894,"Clarke County, Virginia",51043.0,508.47,463.1,394.09,369.22,330.21,288.89,243.63,232.53,"-54.27 (-58.59, -49.23)",499.3960000000001,490.322,481.24800000000005,472.17400000000004,449.298,435.496,421.69399999999996,407.892,389.116,384.142,379.168,374.194,361.418,353.616,345.81399999999996,338.012,321.946,313.68199999999996,305.418,297.154,279.83799999999997,270.78599999999994,261.734,252.682,241.41,239.19,236.97
2895,"Colonial Heights City, Virginia",51570.0,545.74,487.49,418.25,382.07,355.96,298.71,261.27,264.36,"-51.56 (-56.56, -45.49)",534.09,522.44,510.78999999999996,499.14000000000004,473.64200000000005,459.794,445.946,432.098,411.014,403.778,396.54200000000003,389.30600000000004,376.848,371.626,366.404,361.18199999999996,344.51,333.06,321.60999999999996,310.15999999999997,291.222,283.734,276.246,268.758,261.888,262.506,263.124
